summary,product,platform,whatHappen,howHappen,shouldHappen,Status,Priority,user_id,developer_id,reviewer_id
Cursor mismatch,Interactive Brokers,Mobile Webpage,The TypeError: contentWindow is null error message is listed,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Features should load properly,Done,High,36,28,19
User is able to save Pocket to itself,Gmail,Desktop Application,The text cursor and chars are always visible while typing a tag,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,Low,36,12,5
Unable to leave reviews,Shopback,Desktop Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.Press enter and save 2.Press down arrow and observe the elements,Reviews box not supposed to be whited out,Unassigned,High,16,12,46
Unable to access,Shopee,Desktop Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Should be able to access normally,Done,Low,36,18,25
User is able to save Pocket to itself,Gmail,Mobile Webpage,Save Page to Pocket) where there should be none,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Features should load properly,Work in progress,High,17,40,22
User is able to save Pocket to itself,Amazon,Mobile Application,Page cannot load despite refreshing multiple times,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Should be able to access normally,Unassigned,Low,36,26,42
Cursor mismatch,Lazada,Website,Page cannot load despite refreshing multiple times,1.Click on object 2.Load the pictures 3.Pictures not loading,Should be able to access normally,Pending for review,Low,33,23,22
User is able to save Pocket to itself,Coinhako,Desktop,The pocket animation does not play,1.Sign in to pocket 2.Save to pocket 3.Refresh again,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,High,39,28,48
Not loading,Gmail,Desktop Webpage,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Press enter and save 2.Press down arrow and observe the elements,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,32,12,6
Page glitching out,Binance,Mobile Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Login successfully 2.Unable to access,The text cursor and chars are partially out of the text field view,Pending for review,High,2,12,46
Not loading,Gmail,Desktop,Two Pocket-related context menu items appear (Save Link to Pocket,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Reviews box not supposed to be whited out,Pending for review,Low,47,50,21
Pictures not loading,Google,Desktop,The text cursor and chars are always visible while typing a tag,1.Press enter and save 2.Press down arrow and observe the elements,Should be able to access normally,Work in progress,Low,17,40,14
Not loading,Grab,Desktop Webpage,Save Page to Pocket) where there should be none,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Reviews box not supposed to be whited out,Unassigned,High,16,40,42
Features not working,Poems,Desktop Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The text cursor and chars are partially out of the text field view,Unassigned,High,3,9,19
Features not working,Amazon,Mobile Application,Save Page to Pocket) where there should be none,1.Sign in to pocket 2.Save to pocket 3.Refresh again,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,Low,17,18,27
Text not displayed properly,Yahoo,Desktop Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Features should load properly,Done,High,33,18,14
User is able to save Pocket to itself,Lazada,Mobile Application,Box is not whited out but unable to type anything inside,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Reviews box not supposed to be whited out,Work in progress,Low,10,49,46
Pictures not loading,Facebook,Desktop,Two Pocket-related context menu items appear (Save Link to Pocket,1.Login successfully 2.Unable to access,Reviews box not supposed to be whited out,Pending for review,Low,33,12,5
Unable to leave reviews,Lazada,Mobile,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on object 2.Load the pictures 3.Pictures not loading,Should be able to access normally,Unassigned,High,34,28,43
Pictures not loading,Yahoo,Desktop Application,The TypeError: contentWindow is null error message is listed,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The Learn more hyperlink from the Save to Pocket modal is focused,Done,High,36,9,31
Text not displayed properly,Interactive Brokers,Desktop Webpage,The TypeError: contentWindow is null error message is listed,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,The text cursor and chars are partially out of the text field view,Unassigned,High,32,26,46
Unable to leave reviews,Lazada,Desktop Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Reviews box not supposed to be whited out,Unassigned,High,47,1,22
Page glitching out,Yahoo,Desktop,Page cannot load despite refreshing multiple times,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Reviews box not supposed to be whited out,Pending for review,High,17,37,6
Text not displayed properly,Google,Mobile Application,The pocket animation does not play,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Features should load properly,Unassigned,High,17,1,14
Pictures not loading,Shopback,Mobile Webpage,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,16,12,25
Text not displayed properly,Yahoo,Desktop Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Should be able to access normally,Pending for review,High,36,37,5
Not loading,Coinhako,Desktop,Page cannot load despite refreshing multiple times,1.Press enter and save 2.Press down arrow and observe the elements,Reviews box not supposed to be whited out,Pending for review,High,36,26,27
Unable to access,Amazon,Website,The text cursor and chars are always visible while typing a tag,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Reviews box not supposed to be whited out,Unassigned,High,16,9,48
Unable to leave reviews,Amazon,Desktop Webpage,The TypeError: contentWindow is null error message is listed,1.Login successfully 2.Unable to access,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,34,18,27
Not loading,Interactive Brokers,Desktop Webpage,Save Page to Pocket) where there should be none,1.Press enter and save 2.Press down arrow and observe the elements,Features should load properly,Work in progress,Low,3,18,45
Pictures not loading,Amazon,Desktop,Box is not whited out but unable to type anything inside,1.Sign in to pocket 2.Save to pocket 3.Refresh again,The text cursor and chars are partially out of the text field view,Pending for review,Low,2,26,42
Not loading,Interactive Brokers,Desktop Webpage,The pocket animation does not play,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Reviews box not supposed to be whited out,Pending for review,High,32,37,25
Page glitching out,Coinhako,Mobile Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Features should load properly,Unassigned,High,16,11,22
Features not working,Shopee,Website,The text cursor and chars are always visible while typing a tag,1.Login successfully 2.Unable to access,Should be able to access normally,Done,High,3,18,45
Not loading,Poems,Website,The TypeError: contentWindow is null error message is listed,1.Login successfully 2.Unable to access,The Learn more hyperlink from the Save to Pocket modal is focused,Done,High,36,26,27
Unable to leave reviews,Shopee,Mobile,Two Pocket-related context menu items appear (Save Link to Pocket,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Features should load properly,Unassigned,Low,36,28,46
Features not working,Interactive Brokers,Mobile Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,High,34,11,22
User is able to save Pocket to itself,Facebook,Mobile Webpage,Page cannot load despite refreshing multiple times,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,47,15,43
Unable to access,Shopee,Mobile Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Press enter and save 2.Press down arrow and observe the elements,The text cursor and chars are partially out of the text field view,Work in progress,Low,39,28,38
Cursor mismatch,Yahoo,Mobile,Two Pocket-related context menu items appear (Save Link to Pocket,1.Click on object 2.Load the pictures 3.Pictures not loading,Reviews box not supposed to be whited out,Unassigned,High,16,12,27
Text not displayed properly,Yahoo,Desktop Webpage,The pocket animation does not play,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Reviews box not supposed to be whited out,Done,High,39,9,19
Features not working,Coinhako,Desktop Application,The text cursor and chars are always visible while typing a tag,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Features should load properly,Unassigned,High,16,40,8
Unable to leave reviews,Coinhako,Desktop Webpage,Box is not whited out but unable to type anything inside,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Features should load properly,Done,Low,32,40,43
User is able to save Pocket to itself,Shopee,Desktop,Two Pocket-related context menu items appear (Save Link to Pocket,1.Login successfully 2.Unable to access,Should be able to access normally,Unassigned,High,17,12,21
Pictures not loading,Binance,Mobile Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Reviews box not supposed to be whited out,Work in progress,High,10,1,14
Unable to access,Shopee,Website,The pocket animation does not play,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The text cursor and chars are partially out of the text field view,Done,High,10,12,14
Unable to access,Lazada,Desktop Application,Box is not whited out but unable to type anything inside,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,The text cursor and chars are partially out of the text field view,Pending for review,High,47,18,19
Page glitching out,Google,Mobile,Box is not whited out but unable to type anything inside,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Features should load properly,Done,Low,17,15,48
User is able to save Pocket to itself,Gmail,Mobile Webpage,Two Pocket-related context menu items appear (Save Link to Pocket,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Should be able to access normally,Unassigned,High,2,9,22
Not loading,Facebook,Desktop Webpage,The text cursor and chars are always visible while typing a tag,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Reviews box not supposed to be whited out,Unassigned,High,32,1,27
Text not displayed properly,Lazada,Website,Save Page to Pocket) where there should be none,1.Login successfully 2.Unable to access,Should be able to access normally,Done,Low,34,1,46
Pictures not loading,Coinhako,Mobile Webpage,The pocket animation does not play,1.Press enter and save 2.Press down arrow and observe the elements,Reviews box not supposed to be whited out,Work in progress,Low,34,23,25
Unable to access,Amazon,Mobile Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.Press enter and save 2.Press down arrow and observe the elements,Features should load properly,Done,High,16,23,31
Text not displayed properly,Yahoo,Mobile,The TypeError: contentWindow is null error message is listed,1.Press enter and save 2.Press down arrow and observe the elements,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,High,34,40,21
Features not working,Coinhako,Mobile,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,Low,32,26,31
Not loading,Binance,Desktop,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Sign in to pocket 2.Save to pocket 3.Refresh again,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,47,26,22
Page glitching out,Netflix,Desktop Webpage,Save Page to Pocket) where there should be none,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Should be able to access normally,Pending for review,Low,3,9,46
User is able to save Pocket to itself,Poems,Desktop Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,2,23,38
Not loading,Facebook,Mobile Application,Save Page to Pocket) where there should be none,1.Login successfully 2.Unable to access,Reviews box not supposed to be whited out,Done,Low,32,12,38
Text not displayed properly,Binance,Desktop Webpage,The text cursor and chars are always visible while typing a tag,1.Press enter and save 2.Press down arrow and observe the elements,Features should load properly,Work in progress,Low,34,28,38
User is able to save Pocket to itself,Facebook,Website,Two Pocket-related context menu items appear (Save Link to Pocket,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,Low,2,50,38
Cursor mismatch,Grab,Website,The pocket animation does not play,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The text cursor and chars are partially out of the text field view,Done,High,33,12,5
Not loading,Poems,Desktop Webpage,The pocket animation does not play,1.Login successfully 2.Unable to access,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,Low,36,9,38
Pictures not loading,Amazon,Desktop Application,The text cursor and chars are always visible while typing a tag,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Features should load properly,Pending for review,High,16,40,46
Not loading,Coinhako,Website,Page cannot load despite refreshing multiple times,1.Press enter and save 2.Press down arrow and observe the elements,Should be able to access normally,Done,High,36,40,27
Not loading,Poems,Desktop Application,Page cannot load despite refreshing multiple times,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,The text cursor and chars are partially out of the text field view,Work in progress,Low,17,15,8
Pictures not loading,Shopee,Desktop,The text cursor and chars are always visible while typing a tag,1.Login successfully 2.Unable to access,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,High,34,15,48
Features not working,Binance,Mobile Webpage,The TypeError: contentWindow is null error message is listed,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,High,47,37,38
Unable to access,Yahoo,Desktop Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Press enter and save 2.Press down arrow and observe the elements,Reviews box not supposed to be whited out,Done,High,34,23,43
Pictures not loading,Amazon,Desktop Application,Save Page to Pocket) where there should be none,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Reviews box not supposed to be whited out,Work in progress,High,2,23,31
Not loading,Yahoo,Desktop Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,High,10,11,25
Text not displayed properly,Interactive Brokers,Mobile Application,The pocket animation does not play,1.Press enter and save 2.Press down arrow and observe the elements,Reviews box not supposed to be whited out,Pending for review,High,39,50,21
Unable to leave reviews,Yahoo,Website,Box is not whited out but unable to type anything inside,1.Login successfully 2.Unable to access,Should be able to access normally,Pending for review,Low,33,11,21
Text not displayed properly,Poems,Desktop Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,The Learn more hyperlink from the Save to Pocket modal is focused,Done,Low,47,11,31
Pictures not loading,Yahoo,Desktop Webpage,Save Page to Pocket) where there should be none,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Features should load properly,Done,High,32,11,27
Cursor mismatch,Poems,Website,Save Page to Pocket) where there should be none,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Should be able to access normally,Work in progress,Low,36,1,42
Unable to leave reviews,Coinhako,Desktop,The pocket animation does not play,1.Sign in to pocket 2.Save to pocket 3.Refresh again,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,High,16,9,21
Text not displayed properly,Shopee,Website,Box is not whited out but unable to type anything inside,1.Click on object 2.Load the pictures 3.Pictures not loading,Features should load properly,Unassigned,Low,36,18,19
Not loading,Poems,Desktop Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Should be able to access normally,Unassigned,Low,47,12,22
Text not displayed properly,Binance,Desktop Webpage,Box is not whited out but unable to type anything inside,1.Press enter and save 2.Press down arrow and observe the elements,The text cursor and chars are partially out of the text field view,Work in progress,Low,2,9,42
Not loading,Interactive Brokers,Desktop Webpage,Box is not whited out but unable to type anything inside,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Reviews box not supposed to be whited out,Unassigned,High,33,23,31
Not loading,Shopee,Mobile Webpage,Page cannot load despite refreshing multiple times,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The text cursor and chars are partially out of the text field view,Work in progress,Low,17,50,38
Page glitching out,Coinhako,Mobile Application,The TypeError: contentWindow is null error message is listed,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Reviews box not supposed to be whited out,Done,High,33,9,21
Cursor mismatch,Amazon,Desktop Webpage,The TypeError: contentWindow is null error message is listed,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Features should load properly,Unassigned,Low,36,1,42
